指标,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
公共图书馆业机构数(个),3176,3166,3153,3139,3117,3112,3076,2952,2884,2850,2820,2799,2778,2762,2720,2709,2697,2696,2675,2669
公共图书馆业从业人员数(人),,57567,57208,56422,56071,56320,54997,54475,53564,52688,52021,51650,51311,50423,49069,49646,48447,48579,51368,48792
公共图书馆总藏量(万册),,96953,90163,83844,79092,74896,78852,69719,61726,58521,55064,52053,50024,48055,46152,43776,42628,41804,40953,39539
公共图书馆当年购买的报刊种类数(万种),,113,112,109,109,109,101,94,,,,,,,,,,,,
公共图书馆累计发放有效借书证数(万个),,6736,5593,5721,3944,2877,2485,2214,2020,,,1273,1160,1061,1056,943,918,792,623,596
公共图书馆图书流通人次(万人次),,74450,66037,58892,53036,49232,43437,38151,32823,32168,28141,26103,25217,23331,22100,21440,21950,20876,18854,18040
公共图书馆书刊文献外借人次(万人次),,25503,24892,23085,22737,20552,17402,15316,13934,13277,12251,,,,,,,,,
公共图书馆书刊文献外借册次(万册次),,55091,54725,50896,46734,40868,33191,28452,26392,25857,23129,11454,21039,20268,18527,18775,20021,17559,16913,16290
公共图书馆组织各类讲座次数(次),,74174,69308,59562,54939,49474,44564,35175,,,,,,,,,,,,
公共图书馆举办展览数(个),,30443,26588,20481,18124,15848,12389,10479,,,,,,,,,,,,
公共图书馆举办培训班数(个),,50973,44137,34501,30523,26198,24937,22597,,,,,,,,,,,,
公共图书馆计算机台数(台),,220992,211574,211816,198586,195413,173313,157528,142772,,,,,,,,,,,
公共图书馆电子阅览室终端数(台),,144255,134888,126702,121597,116274,101433,92649,83124,,,,,,,,,,,
公共图书馆阅览室座席数(万个),,106,99,91,86,81,73,68,63,60,55,53,159,48,47,46,44,44,42,42
人均拥有公共图书馆藏量(册/人),,1,1,1,1,1,1,1,,,,,,,,,,,,
每万人拥有公共图书馆建筑面积(平方米),,109,103,95,90,85,78,74,,,,,,,,,,,,
公共图书馆参加讲座人次(万人次),,1254,1057,934,974,865,827,654,,,,,,,,,,,,
公共图书馆参观展览人次(万人次),,7191,5783,4722,3821,3354,3051,2094,,,,,,,,,,,,
公共图书馆参加培训人次(万人次),,411,298,251,220,193,231,190,,,,,,,,,,,,

